/home/Student/s4824063/miniconda3/envs/conda-env/lib/python3.11/site-packages/torch/utils/data/dataloader.py:560: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Random Seed:  999
Generator(
  (main): Sequential(
    (0): ConvTranspose2d(100, 512, kernel_size=(4, 4), stride=(1, 1), bias=False)
    (1): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): ConvTranspose2d(512, 256, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (4): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (5): ReLU(inplace=True)
    (6): ConvTranspose2d(256, 128, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (7): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (8): ReLU(inplace=True)
    (9): ConvTranspose2d(128, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (10): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (11): ReLU(inplace=True)
    (12): ConvTranspose2d(64, 3, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (13): Tanh()
  )
)
Discriminator(
  (main): Sequential(
    (0): Conv2d(3, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (1): LeakyReLU(negative_slope=0.2, inplace=True)
    (2): Conv2d(64, 128, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (4): LeakyReLU(negative_slope=0.2, inplace=True)
    (5): Conv2d(128, 256, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (6): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (7): LeakyReLU(negative_slope=0.2, inplace=True)
    (8): Conv2d(256, 512, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1), bias=False)
    (9): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (10): LeakyReLU(negative_slope=0.2, inplace=True)
    (11): Conv2d(512, 1, kernel_size=(4, 4), stride=(1, 1), bias=False)
    (12): Sigmoid()
  )
)
Starting Training Loop...
[0/5][0/1583]	Loss_D: 1.7237	Loss_G: 5.2575	D(x): 0.5539	D(G(z)): 0.5840 / 0.0080
[0/5][50/1583]	Loss_D: 0.0518	Loss_G: 31.9846	D(x): 0.9800	D(G(z)): 0.0000 / 0.0000
[0/5][100/1583]	Loss_D: 0.2973	Loss_G: 6.9254	D(x): 0.9564	D(G(z)): 0.1624 / 0.0024
[0/5][150/1583]	Loss_D: 0.2238	Loss_G: 3.6194	D(x): 0.9188	D(G(z)): 0.1008 / 0.0494
[0/5][200/1583]	Loss_D: 0.5792	Loss_G: 4.4420	D(x): 0.6887	D(G(z)): 0.0557 / 0.0240
[0/5][250/1583]	Loss_D: 0.4037	Loss_G: 4.4712	D(x): 0.8179	D(G(z)): 0.1132 / 0.0181
[0/5][300/1583]	Loss_D: 0.4686	Loss_G: 4.6205	D(x): 0.8794	D(G(z)): 0.2333 / 0.0221
[0/5][350/1583]	Loss_D: 0.6567	Loss_G: 4.8981	D(x): 0.8184	D(G(z)): 0.2909 / 0.0132
[0/5][400/1583]	Loss_D: 0.5571	Loss_G: 3.4157	D(x): 0.7885	D(G(z)): 0.2017 / 0.0544
[0/5][450/1583]	Loss_D: 0.4241	Loss_G: 4.8392	D(x): 0.8230	D(G(z)): 0.1207 / 0.0157
[0/5][500/1583]	Loss_D: 0.4940	Loss_G: 7.3094	D(x): 0.9796	D(G(z)): 0.3197 / 0.0020
[0/5][550/1583]	Loss_D: 0.4776	Loss_G: 4.0252	D(x): 0.7237	D(G(z)): 0.0352 / 0.0318
[0/5][600/1583]	Loss_D: 1.2307	Loss_G: 3.0707	D(x): 0.4146	D(G(z)): 0.0048 / 0.1082
[0/5][650/1583]	Loss_D: 0.8323	Loss_G: 4.0192	D(x): 0.5536	D(G(z)): 0.0182 / 0.0433
[0/5][700/1583]	Loss_D: 0.3955	Loss_G: 4.7417	D(x): 0.8700	D(G(z)): 0.1522 / 0.0166
[0/5][750/1583]	Loss_D: 1.2706	Loss_G: 1.5227	D(x): 0.4882	D(G(z)): 0.0180 / 0.3313
[0/5][800/1583]	Loss_D: 0.5358	Loss_G: 5.2010	D(x): 0.8515	D(G(z)): 0.2575 / 0.0093
[0/5][850/1583]	Loss_D: 0.3984	Loss_G: 4.1563	D(x): 0.7613	D(G(z)): 0.0308 / 0.0271
[0/5][900/1583]	Loss_D: 0.9509	Loss_G: 7.2113	D(x): 0.9212	D(G(z)): 0.5136 / 0.0016
[0/5][950/1583]	Loss_D: 2.3919	Loss_G: 1.6489	D(x): 0.2059	D(G(z)): 0.0080 / 0.3249
[0/5][1000/1583]	Loss_D: 0.4569	Loss_G: 5.0902	D(x): 0.8558	D(G(z)): 0.1786 / 0.0145
